Designator,Mid X,Mid Y,Rotation,Layer
C1,117.821,-138.629,0.0,top
C10,123.114,-80.96,180.0,top
C11,126.67,-90.104,0.0,top
C12,120.828,-87.297,270.0,top
C13,120.828,-84.249,90.0,top
C14,123.381,-121.6685,0.0,top
C15,123.127,-112.5245,180.0,top
C16,126.924,-121.6685,0.0,top
C17,120.828,-118.3795,270.0,top
C18,120.828,-115.3185,90.0,top
C2,107.957,-138.364,0.0,top
C3,103.556,-137.348,0.0,top
C4,106.604,-54.29,180.0,top
C5,106.604,-69.022,180.0,top
C6,109.144,-40.828,90.0,top
C7,106.363,-34.478,180.0,top
C8,103.315,-34.478,0.0,top
C9,123.622,-90.104,0.0,top
IC1,104.8905,-40.857,180.0,top
J1,122.965669,-107.084,90.0,top
J2,123.119669,-128.242,90.0,top
J3,102.032,-144.201,0.0,top
J4,105.1,-82.45,270.0,top
LS1,106.114,-45.908,270.0,top
R1,107.125,-36.764,270.0,top
R2,102.553,-36.764,270.0,top
R3,104.839,-37.272,180.0,top
R4,102.794,-141.412,180.0,top
R5,108.475,-80.05,180.0,top
R6,109.275,-83.125,90.0,top
R7,107.725,-83.125,270.0,top
RV1,106.205,-29.65,270.0,top
U1,27.0,-36.0,0.0,top
U2,108.16,-143.963,0.0,top
U3,104.826,-60.386,0.0,top
U4,117.886,-143.963,0.0,top
U5,104.826,-74.61,0.0,top
U6,117.785,-134.549,180.0,top
U7,126.797,-85.567,90.0,top
U8,126.818,-117.028,90.0,top
